Product Name,Selling Price 
JAGERMEISTER 700 WITH CORK,3525
JAGERMEISTER LITRE WITH CORK,4425
JAGERMESTER 1LT,4425
JAGERMESTER 350ML,2025
JAGERMESTER  750ML,3525
JAMAICAN RUM 750ML,1050
JAMBO VODKA 250ML,150
JAMESON CASK MATE,4575
JAMESON CRESTED,4875
JAMESONS 1LT,4950
JAMESONS 350ML,1935
JAMESONS 750ML,3750
JAMESONS BLACK BARREL,6075
J & B 1LTR,3135
J & B 3/4,2370
J & B 375ML,1208
J & B HONEY 700ML,2775
JC LE ROUX DOMAINE,2190
JC LE ROUX FLRTE,2190
JEZLIN VODKA,1140
JIM BEAM 1LT,3375
JIM BEAM 750ml,2925
JIM BEAM APPLE 700ML,2250
JIM BEAM BLACK 1LT,3525
JIM BEAM HNY 1LT,3000
JIM BEAM HONEY 750ML,2250
JOHN BANNERMANS 750M,1875
JOHN BARR BLACK 1LT,2550
JOHN BARR BLACK 750ML,2325
JOHN BARR RED 1LT,2400
JOHN BARR RED 750ML,2250
JOHN WALKER 18YRS,14775
JOHN WALKER BLACK 1LT,5325
JOHN WALKER BLACK 375ML,2355
JOHN WALKER BLACK 750ML,4425
JOHN WALKER BLUE  LBL 1LT,48000
JOHN WALKER BLUE lbl 750ML,39750
JOHN WALKER DBL BLACK 1LT,8025
JOHN WALKER GOLD LBL RSRV,10800
JOHN WALKER GREEN 750ML,10200
JOHN WALKER ICE/FIRE,6300
JOHN WALKER RED 1/2,1320
JOHN WALKER RED 3LT,10200
JOHN WALKER RED LABEL 1L,3075
JOHN WALKER RED LABEL 3/4,2535
JOHN WALKER WHT 1LT,8100
JOHN W BLACK 250ML,1575
JOHN W DBL BLACK 750ML,6150
JOHN W RED 250ML,870
JOSE CUERVO GOLD 1LT,4125
JOSE CUERVO GOLD 750ML,3525
JOSE CUERVO SILVER 1LT,4200
JOSE CUERVO SILVER  750ML,3825
JP AZELTAO,2025
JP CHENET NOBLESS 70CL,1920
JUMPING GOAT whisky  700ML,4800
JUST RIGHT SMOOTH 250ML,311
J.W WHITE WALKER 750ML,5700
KAHAWA GOLD 750ML,1928
KAHLUA LIQUER 1LT,2925
KAHLUA LIQUER 750ML,2250
KAKIRA COFFEE VODKA 250ML,720
KAKIRA COFFEE VODKA 750ML,1995
KAKIRA GIN 250ML,540
KAKIRA GIN 750ML,1688
KAKIRA GOLD RUM 750ML,1950
KALANOV VDKA,825
KANE EXTRA 750ML,893
KANE EXTRA GOLD 250ML,293
KARIGEN WATER 1LT,53
KB ,225
KEG EMPTIES,5250
KENSINGTON GIN 750ML,1200
KENYA CANE 350ML,540
KENYA CANE CITRUS 250ML,383
KENYA CANE CITRUS 750ML,1013
KENYA CANE COCO 250ML,383
KENYA CANE COCO 750ML,1013
KENYA CANE LEMON 250ML,383
KENYA CANE LEMON 750ML,1013
KENYA CANE PINEAPPLE 250ML,383
KENYA CANE PINEAPPLE 750ML,1013
KENYA CANE SMOOTH 250ML,383
KENYA CANE SMOOTH 750ML,1013
KENYA GOLD 250ML,278
KENYA KING 250ML,345
KENYA KING 750ML,990
KEROR WHITE GRAPE,750
KETEL ONE 750ML,4440
KGB CLASSIC  750ML,930
KGB LIMON 750ML,1065
KIBAO GIN 250ML,341
KIBAO GIN 350ML,525
KIBAO GIN 750ML,957
KIBAO VODKA 250ML,341
KIBAO VODKA 350ML,525
KIBAO VODKA 750ML,957
KIENYEJI 250ML,320
KIENYEJI 750ML,930
KINGFISHER,297
KINGFISHER EMPTY BOTTLE,30
KINGFISHER EMPTY CRATE,210
KINGROBERT II 750ML,1200
KINGROBERTS GIN 1LITRE,1350
KINGROBERTS VODKA 1LITRE,1500
KINGROBERTS WHSKY 75CL,1125
KINGROBERTS WSKY 1LT,1800
KINGSTONE GIN LITRE,1170
KLAR H2O 500ML,45
KLAR H2O LITRE,83
KLUB 101 LEMONADE,75
KO APPLE,345
KO APPLE CAN,345
KO CLASSIC GIN 750ML,3150
KO CLASSIC TONIC CAN,158
KO HONEY ,345
KO LIGHT TONICCAN,158
KO LIME,345
KO LIME CAN,345
KO MANGO,345
KONYAGI 1/2,788
KONYAGI -1/4,375
KONYAGI 750ML,1065
KO PASSION,345
KO PASSION CAN,345
KO PASSION ICE TEA CAN,210
KO PINEAPPLE,345
KO PINEAPPLE CAN,345
KO TAMBUZI 750ML,3300
KO TROPICAL ICE TEA CAN,210
K VANT 250ML,458
K VANT 750ML,1650
KWV 20YRS,15000
KWV 3YRS,1800
KWV 5YRS,2100
KWV CAPE RUBY 750ML,2550
KWV CEVEE BRUT 750ML,1200
KWV CHENIN BLANC 750ML,2100
KWV ROODEBERG BLACK 750ML,2550
KWV SAUVIGNON BLANC 750ML,2100
LABEL 5 WHISKY 750ML,2190
LARIOS GIN 1LT,2100
LARIOS PREMIUM 750ML,2250
LEGEND 250ML,270
LEGEND 750ML,780
LEOPARD CAB SAUV,2235
LEOPARD CAB SAV MERLOT,2235
LEOPARD CHARDONNAY,2235
LEOPARD CHENIN BLANC,2235
LEOPARD MERLOT,2235
LEOPARD SAV BLANC 750ML,2235
LIME JUICE 1.5L,368
LIME JUICE 700ML,210
LION EXPORT PREMIUM(8.8%),323
LION EXTRA STRONG (12%_,338
LION STOUT(8.8),413
LUKSUSOWA VODKA 750ML,1035
LUPINI BLACK 750ML,1575
LUPINI GOLD,1200
MACALLAN 12YRS,20250
MADAFU LIQUEOR,1200
MAGIC MOMENT 1.75LT,2190
MAGIC MOMENT 3/4,1275
MAGIC MOMENTS APPLE 750ML,1305
MAGIC MOMENTS CHOCO 750ML,1305
MAGIC MOMENTS ORIGINAL 750ML,1305
MAGIC MOMENYS ORANGE 750ML,1305
MAGIC TIMES 250ML,150
MAGNUM 1LT,2250
MAGNUM 750ML,1725
MALBEC 750ML ,3105
MALFY CON LIMONE 750ML,6240
MALFY CON ROSA 750ML,6240
MALFY GIN ORIGINALE 750ML,6240
MALIBU 1LTR,3150
MALIBU 750,2745
MANYATTA LEMON,338
MANYATTA MANGO,338
MANYATTA PINEAPPLE,338
MANYATTA PINEAPPLE CAN,375
MARENGO SWEET ROSE WINE,2250
MARENGO SWEET WHITE SPARKLING,2250
MARTE,10500
MARTEL BLUE SWIFT 700ML,13500
MARTEL VS LITRE,10500
MARTEL V.S.O.P 1LT,16800
MARTEL VSOP 3/4,12225
MARTEL VSSD  750ML,7605
MARTEL XO,51750
MARTENS 10%,345
MARTENS  BEER 16%,375
MARTIN BIANCO 1LTR,2100
MARTIN BIANCO 3/4,2250
MARTINI DRY 750ML,1950
MARTIN ROSSO -1L,2850
MARTIN ROSSO 3/4,2325
MATEUS ORIGINAL ROSE 750ML,1200
MC MOHAN WITH GLASS,1425
MIKADO CHERRY RED 750ML,1875
MIKADO RED PLUM 750ML,1500
MIKADO WHT APRICOT 750ML,1875
MIKADO WHT LYCHEE  750ML,1875
MIKADO WHT PASSION  750ML,1875
MIKADO WHT PASSION 750ML,1875
MIKADO WHT PINEAPPLE  750ML,1875
MIKADO WHT PLUM 750ML,1695
MINUTE MAID JUICE,90
MISTRAL APPLE,990
MISTRAL CHOCOLATE,990
MISTRAL MANGO,990
MISTRAL PLAIN 750ML,990
MISTRAL STRAWBERRY,990
MODERN GIN 250ML,180
MOET ICE IMPERIAL,17250
MOET IMPERIAL BRUT,14700
MOET NECTAR ROSE,12000
MOHAN DRY RED 750ML,825
MOHANS DRY WHITE 750ML,825
MOHANS SWEETRED 750ML,1200
MOHANS  WHITE SWEET 750ML,825
MONKEY SHOULDER 1LT,7800
MONKEY SHOULDER 700ML,7200
MONSTER MUCHO LOCO(BLUE),225
MONSTER MULE(BROWN,225
MONSTER ORIGINAL,270
MONSTER ROSSI(YELLOW),225
MONSTER WHITE,225
MR DOWELLS 250ML,413
MR DOWELS 750ML,1238
MT KENYAN H20 500ML,60
MUCHO MAS 1.5L,6000
MUCHO MAS RED (BLACK EDITION)750ML,3030
MUCHO MAS WHITE 750ML,2745
MUSCAT WHITE SWEET750 ,1605
MUSKETEER BRDY 250ML,263
MUSKETEER BRNDY 750ML,1125
MYERS RUM 1 LT,2775
MYERS RUM 750,2700
NAKED MALT 1LT,4950
NAKED MALT 700ML,3975
NAMAQUA DRY RED 5LTR,5025
NAMAQUA DRY WHITE 5LTRS,3750
NAMAQUA SWEET RED 5L,5025
NAMAQUA SWEET RED 750ML,1560
NAMAQUA WHITE SWT 750ML,1560
NAPOLEON CROWN 250ML,390
NAPOLEON CROWN 750ML,1095
NAPOLEON GOLD 250ML,330
NAPOLEON GOLD 750ML,998
NATURE'S MANGO & APPLE,258
NEDERBERG rose 750ML,2250
NEDERBURG BARONE,2250
NEDERBURG CAB SAV 750ML,2250
NEDERBURG CHARDONNAY,2250
NEDERBURG MERLOT,2250
NEDERBURG PINOTAGE,2250
NEDERBURG SAV BLANC,2250
NEDERBURG SHIRAZ,2250
NEON 350ML,435
NEON CHOCOLATE 750ML,675
NEON COFFEE 750ML,675
NEW GROOVE FLVD,1635
NICOTINE MANGO,615
NICOTINE MINT,615
NICOTINE PASSION FRUIT,615
OAK CASK 700ML,1193
OCEAN ENERGY DRINK,173
OFFICERS CHOICE RED,1125
OJ 12%,413
OJ 16%,413
OJ 20%,428
OJ 5%,375
OJ 8.5%,278
OLD COCK  750ML,2625
OLD MONK 375ML,525
OLD MONK RUM 750ML,1500
OLD NICKDARK  700ML,1830
OLD NICK DARK LITRE,2205
OLD NICK SPICED  700ML,1830
OLD NICK WHITE 1LITRE,2205
OLD NICK WHITE 700ML,1830
OLD SMUGGLER 3/4,1665
OLEPASU RED WINE 70CL,1050
OLEPASU WHITE WINE 750ML,1050
OLMECA BLANCO 750ML,3975
OLMECA CHOCO 750ML,3975
OLMECA GOLD 750ML,4020
OPM 375ML,698
OPM VODKA 250ML,465
OPM VODKA 750ML,1575
OPULENZA 750ML,2700
ORANGE RUM CAN,255
ORCHID APPLE,323
ORCHID GUAVA,323
ORCHID MANGO,323
ORCHID ORANGE,323
ORCHID PASSION,323
ORCHID TROPICAL,323
ORIJIN HERBAL 250ML,353
ORIJIN HERBAL 750ML,938
OVERMEER RED 5LIT,3675
OVERMEER WHITE 5L,3375
PALL MALL GREEN,317
PALL MALL PLUS,252
PASSPORT 750ML,1650
PEACH LIQUEUR 700ML,3225
PEARLY BAY DRY RED750ML,1170
PEARLY BAY DRY WHITE 750ML,1170
PEARLY BAY ROSE,1170
PEARLY BAY SWEETRED 750ML,1470
PEARLY BAY SWEETWHITE 750ML,1170
PENASAL RED BTTL 750ML,833
PENASOL dry red 1lt,840
PENASOL DRY  WHITE 1L,840
PENASOL RED SWEET BLUE 1L,848
PENASOL SANGIRIA TETRA,840
PENASOL SANGRIA  1.5L,1440
PENASOL SANGRIA BTL 1LT,990
PENASOL WHITE BTTL 750ML,900
PENASOL WHITE SWEET 1LT,870
PEOPLE 250ML,177
PICK & PEEL APPLE,383
PICK & PEEL MANGO,383
PICK & PEEL PINEAPPLE,383
PICK & PEEL REDGRAPE,383
PICK & PEEL TROPICAL,383
PIERRE MARCEL SWEET RED 750ML,1950
PILSNER BEER,254
PILSNER CAN 500ML,303
POWER HORSE,150
POWER PLAY,83
PREDATOR GOLD 400ML,83
PROSECCO 750ML,3750
Q1 GIN 750ML,1125
QUENCH WATER 1LT,53
RADA CLASSIC 750ML,2850
REBATE ,150000
REDBULL,270
REDBULL SUGARFREE,270
RED LABEL LIMITED 750ML,2400
RED STAR 250ML,300
REMY MARTIN VSOP 1LT,13500
REMY MARTIN VSOP 750ML,11700
REMY MARTIN XO700ML,33000
RENDEZ MOJITO,600
RENDEZ SPARKLING APPLE,525
RENDEZ SPARKLING BLUE,525
RENDEZ SPARKLING PINK,525
RENDEZ SPARKLING RED,525
RENDEZ SPARKLING WHITE,525
RESERVE 7 WHISKY 350ML,503
RESERVE 7 WHISKY 750ML,1350
RICHOT 1/2,864
RICHOT 250ML,623
RICHOT 3/4,1860
ROBERTSON RED 1.5LT,2595
ROBERTSON RED 750ML,1545
ROBERTSON ROSE 1.5 LTS,2580
ROBERTSON ROSE 750 ML,1545
ROBERTSON  WHITE 1.5L,2595
ROBERTSON WHITE 750ML,1545
ROCKSHORE TROPICAL,210
ROOSTER,255
ROSSO NOBILE AL CIO RED,1950
ROSSO NOBILE BIANCO,1950
ROSSO NOBILE  BOIS BANDE 750ML,1950
ROSSO NOBILE CHERRY,1950
ROSSO NOBILE CIOCCOLATA,1950
ROSSO NOBILE CREMA,1950
ROSSO NOBILE ESPRESSO,1950
ROSSO NOBILE MARZIPAN,1950
ROSSO NOBILE NERO,2025
ROSSO NOBILE NOCCIOLA,1950
ROSSO NOBILE NOUGAT,1950
ROSSO NOBILE RASPBERRY,2025
ROTHMANS,528
ROTHMANS MINT,255
ROYAL ARMS BRDY 750ML,1200
ROYAL CHALLEGE 750ML,1178
ROYAL CIRCLE HONEY 750ML,2085
ROYAL CIRCLE WHISKY,2100
ROYAL DUTCH 12%,330
ROYAL DUTCH 14%,338
ROYAL DUTCH 16%,360
ROYAL GOLD PREMIUM 750ML,1035
ROYAL KINGSTON 750ML,645
ROYAL LEGEND 3/4,1650
ROYAL PRIDE 750ML,1110
ROYAL STAG 375ML,908
ROYAL STAG  750ML,1695
safari  appy fizz,60
SAFARI CANE 250ML,338
SAFARI CANE 500ML,480
SAFARI CANE 750ML,953
SAFARI ENERGY B,60
SAFARI H2O 1LR,63
SAFARI H2O 500ML,33
SAFARI KINGS,317
SAFARI LEMONADE 300ML,60
SAFARI ORANGE 300ML,45
SAFARI WHISKY 250ML,398
SAFARI WHISKY 750ML,1170
SAMANTHA RED,1425
SAMANTHA ROSE,1425
SAMANTHA WHITE,1425
SANGRIA RED 1LT,1058
SANGRIA WHITE 1LT,1058
SAVANNA DRY 330ML,368
SAVANNA LEMON,390
SCHWEPPES GINGER ALE CAN,112.5
SCHWEPPES SODA,82.5
SCHWEPPES TONI CAN,180
SCOTS GOLD BLACK 1LT,2400
SCOTS GOLD BLACK 75ML,2325
SCOTS GOLD RED 1LTR,2175
SCOTS GOLD RED 750ML,1800
SEASON LEMONADE,60
SHERIDANS 1L,7050
SHUSTOFF BRDY 500ML,1785
SINGLETON 12YRS 750ML,7050
SINGLTON 18YRS 700ML,12600
SINGLTONE 15YRS 700ML,9600
SIR EDWARD 350ML,465
SIR EDWARD WHSKY 1LT,2235
SIR EDWARD WHSKY 750ML,2025
SKY VODKA 750ML,1665
SMART VODKA 250ML,180
SMINOFF VDKA FLVD 3/4,2250
SMIRNOFF APPLE,2250
SMIRNOFF BLUE 1L,2250
SMIRNOFF BLUEBERRY 1LT,2250
SMIRNOFF ESPRESSO 1LT,2250
SMIRNOFF GOLD,1950
SMIRNOFF LIME 1LT,2250
SMIRNOFF MANGO&PASSION,293
SMIRNOFF ORANGE &LEMON,293
SMIRNOFF PINEAPPLE BEER,243
SMIRNOFF PINEAPPLE CAN,268.5
SMIRNOFF VANILLA 700ML,1800
SMIRNOFF VODKA 1L RED,2430
SMIRNOFF VODKA 250ML,624
SMIRNOFF VODKA 350ML,864
SMIRNOFF VODKA  750ML,1860
SM -SWEET MENTHOL,528
SNAP DRY CIDER 330ML,367.5
SNAPP BEER,241.5
SNAPP CAN 330ML,267
SODA TONIC WATER,99
SOUTHERN  BLACK 70CL,2700
SOUTHERN COMFORT 1L,3525
SOUTHERN COMFORT 350ML,1275
SOUTHERN COMFORT 750ML,2700
SOUTHERN OCEAN,4275
SPIER CARBANET,2400
SPIKE VODKA 250ML,195
SPORTSMAN,528
SQUADRON D RUM,1005
ST.ANNS 750ML,1095
STAR BRANDY 250ML,180
STAR CHASER RED,750
STAR CHASER SWEET ROSE 750ML,1179
STAR VODKA 250ML,232.5
STAR WALKER 750ML,1650
ST.CELINE,1095
STOLICHNAYA VDKA,2445
STRAWBERRY LIPS 750ML,2700
ST.REMY  VSOP 1LT,3075
ST.REMY VSOP 700ML,2940
ST. REMY XO,3945
STRETTONS ORIGINAL GIN 750ML,1620
STRETTONS TRIPLEBERRY 750ML,1950
STRETTTONS WILDBERRY 750ML,1950
SUMMIT,240
SUN CHASER WINE,750
SUPREME VODKA 250ML,250.5
SUPREME VODKA 750ML,885
SWEET BERRY 250ML,188
TAIFA 250ML,338
TAIFA 750ML,1005
TALISKER STORM 700ML,7875
TALL HORSE CAB SAUV,1500
TALL HORSE CHARDONNAY 750ML,1500
TALL HORSE CHENIN BLANC,1500
TALL HORSE MERLOT,1500
TALL HORSE PINOTAGE,1500
TALL HORSE PINOTAGEROSE 750ML,1500
TALL HORSE SAV BLANC,1500
TALL HORSE SWEETRED 750ML,1500
TANQUERAY 10. 1LT,7725
TANQUERAY 10 750ML,6120
TANQUERAY DRY GIN 1LT,4575
TANQUERAY DRY GIN 750ML,3480
TANQUERAY MALACCA LTR,4500
TANQUERAY RANGPUR 1LT,4725
TANQUERAY RANGPUR 70CL,3675
Tanqueray royale 1lt ,4950
TANQUERAY ROYALE 70CL,3675
TANQUERAY SEVILLA 1LT,4725
TANQUERAY SEVILLA 750ML,3675
TEACHERS 1LT,2475
TEACHERS 350ML,540
TEACHERS 750ML,2325
TEQUILA CAMINO CLEAR 750ML,3420
TEQUILA CAMINO GOLD 750ML,3420
TEQUILA ROSE  750ML,3150
THE GUVNOR 1.5L,4788
THE GUVNOR 750ML,2388
THE WILSHIRE BLENDED WHISKY 750ML,1725
THREE BARREL 1LT,3600
THREE BARREL 750ML,2250
TIA MARIA 1LT,4050
TIME VIRGINIA BLEND BULK,263
TOP SECRET 250ML,390
TOP SECRET  750ML,1095
TORRERO 750ML,1230
TORRERO LIQUER 250ML,428
TR,3225
TRACE VODKA 250ML,255
TRIPLE ACE 250ML,299
TRIPLE ACE 750ML,840
TRIPPLE SEC CURACAO LIQUEUR 700ML,3225
TULLAMORE 1LITRE,4800
TULLAMORE 700ML,3750
TUSKER BEER,255
TUSKER CAN 500ML,305
TUSKER CIDER BEER,336
TUSKER CIDER CAN 500ML,357
TUSKER LITE BEER,282
TUSKER LITE CAN 500ML,368
TUSKER MALT BEER,282
TUSKER MALT CAN,368
TUSKER NDIMU BEER,230
UGIN MANGO 750ML,1230
UPRISE WHSKY FLVD,368
URBAN WHISKEY 750ML,1403
V& A 1/4,443
V& A 750ML,1170
VAT 250ML,750
VAT 69 1LT,2775
VAT 69  3/4,2100
VAT 69 375ML,1140
VELO  CANS,600
VELO SARCHETS,300
VERSUS RED WINE 750ML,1050
VERSUS WHITE 750ML,1050
VICEROY 10YRS,4830
VICEROY 250ML,653
VICEROY 350,957
VICEROY 750ML,1860
VIENA ICE 500ML,132
VIVA VODKA 250ML,293
VODKA LEMONADE CAN,255
WARAGI 750ML,720
WAVE DANCER WINE 750ML,750
WHITE CAP BEER,294
WHITE CAP CAN 500ML,329
WHITE CAP CRISP BEER,320
WHITE CAP CRISP CAN 330ML,345
WHITE HOUSE 375ML,480
WHITE HOUSE 750ML,1590
WHITE LACE GIN 500ML,1350
WHITE MISCHIEF 750ML,1178
WHITE OWL 750ML,1110
WHITE PEARL 250ML,339
WHITE PEARL750ML,1020
WHITE PEARL PINK 250ML,339
WHITE PEARL PINK 750ML,1020
WHITE PEARL XTRA 250ML,339
WHITE PEARL XTRA 750ML,1020
WHYTEHALL FIRE  1LT,2205
WHYTHALL HONEY,2205
WILD AFRICA CREAM 750ML,2325
WILD TURKEY 1LT,3975
WILD TURKEY 750,4050
WILLIAM CAN 330ML,338
WILLIAM CAN COLA,338
WILLIAM LAWSON 1.5LT,4620
WILLIAMSON 1LT,3113
WILLIAM SON 750ML,2685
WILLIAM SPCD 750ML,2580
WILLIAM WSON 350ML,1283
WILSON WHISKY 750ML,2550
WINDHOEK DRAUGHT 330ML,285
WINDHOEK LAGER 330ML,285
XO BRANDY 250ML,353
XO BRANDY 750ML,1020
YATTA MANGO 1LT,293
YATTA RED 1LT,293
YATTA  TROPICAL,293
YATTA  WHITE 1 L,293
ZANZI CREAM LQ 750ML,750
ZAPPA BLACK,2100
ZAPPA BLUE,2100
ZAPPA CLEAR,2100
ZAPPA GREEN,2100
ZAPPA RED,2100